evaluation_type,user_id,user_type,task,completion_time,completion_success,error_count,action_count,satisfaction,difficulty,comments,evaluator,website,url,date
experimental,F2,First-time user,Search for a specific course on the ISETCOM website,192.0,N,1,21,1,4,"Couldn't complete the task. Had trouble understanding where to look. As a first-time visitor, I wasn't sure where to start. The search functionality was not intuitive.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,F2,First-time user,Find contact information for ISETCOM,75,Y,3,7,3,5,"Completed the task, but had trouble understanding where to look. Clicked on the wrong sections multiple times. As a first-time visitor, I wasn't sure where to start. Contact information was easy to find.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,F2,First-time user,Find the academic calendar on the ISETCOM website,112,Y,5,9,2,5,"Completed the task, but had trouble understanding where to look. Had to backtrack several times. I had to explore multiple sections before finding the right one.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,F2,First-time user,Locate the faculty directory on the ISETCOM website,42,Y,5,10,2,5,"Completed the task, but i struggled to find the right section. Had to backtrack several times. I had to explore multiple sections before finding the right one.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,F3,First-time user,Search for a specific course on the ISETCOM website,107,Y,1,9,4,3,"Completed the task, but the navigation was confusing for this task. The terminology used was unfamiliar to me. The search functionality worked well.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,F3,First-time user,Find contact information for ISETCOM,124.5,N,4,13,2,5,Couldn't complete the task. I struggled to find the right section. I made several mistakes while trying to complete this. The layout wasn't intuitive for someone unfamiliar with the site. Contact information was hard to locate.,AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,F3,First-time user,Find the academic calendar on the ISETCOM website,72,Y,1,19,4,3,"Completed the task, but had trouble understanding where to look. The layout wasn't intuitive for someone unfamiliar with the site.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,F3,First-time user,Locate the faculty directory on the ISETCOM website,81,Y,2,15,2,3,"Completed the task, but i struggled to find the right section. Would benefit from clearer instructions for new users.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,F4,First-time user,Search for a specific course on the ISETCOM website,77,Y,2,9,4,2,I completed the task without any issues. Would benefit from clearer instructions for new users. The search functionality worked well.,AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,F4,First-time user,Find contact information for ISETCOM,95,Y,1,19,2,4,"Completed the task, but the navigation was confusing for this task. Would benefit from clearer instructions for new users. Contact information was easy to find.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,F4,First-time user,Find the academic calendar on the ISETCOM website,97.5,N,2,18,1,4,Couldn't complete the task. I struggled to find the right section. I had to explore multiple sections before finding the right one.,AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,F4,First-time user,Locate the faculty directory on the ISETCOM website,82.5,N,2,27,2,5,Couldn't complete the task. I struggled to find the right section. The terminology used was unfamiliar to me.,AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,F5,First-time user,Search for a specific course on the ISETCOM website,201.0,N,1,13,1,5,Couldn't complete the task. This was quite challenging to complete. The layout wasn't intuitive for someone unfamiliar with the site. The search functionality was not intuitive.,AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,F5,First-time user,Find contact information for ISETCOM,44,Y,2,19,3,4,"Completed the task, but the website organization made this difficult. The terminology used was unfamiliar to me. Contact information was easy to find.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,F5,First-time user,Find the academic calendar on the ISETCOM website,118,Y,5,9,4,3,"Completed the task, but had trouble understanding where to look. I made several mistakes while trying to complete this. Would benefit from clearer instructions for new users.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
experimental,F5,First-time user,Locate the faculty directory on the ISETCOM website,41,Y,0,11,2,3,"Completed the task, but had trouble understanding where to look. The terminology used was unfamiliar to me.",AutomatedBot,ISETCOM,https://www.isetcom.tn/public/home.faces,2025-04-19
